x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,10,9,8,7,6,5,4,3,2,1,x,x
x,x,o,o,o,o,o,o,o,o,o,o,10,9,8,7,6,5,4,3,2,1,x,x
x,x,o,o,o,o,o,o,o,o,o,o,10,9,8,7,6,5,4,3,2,1,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x